Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R15","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",155.350000,-127.900000,-90.000000,top
"R16","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.380000,-92.510000,90.000000,top
"R17","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.500000,-131.200000,-90.000000,top
"R18","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.500000,-134.600000,-90.000000,top
"R19","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.030000,-110.640000,-90.000000,top
"R20","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.380000,-111.240000,0.000000,top
"R21","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",142.800000,-102.000000,90.000000,top
"R22","12K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",159.850000,-113.150000,180.000000,top
"R23","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",156.412500,-115.850000,0.000000,top
"R24","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.650000,-111.950000,0.000000,top
"R29","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.950000,-107.050000,90.000000,top
"R36","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",178.650000,-119.600000,0.000000,top
"R37","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",178.650000,-108.500000,0.000000,top
"R38","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",178.650000,-97.400000,0.000000,top
"R39","330","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",178.650000,-86.300000,0.000000,top
"R40","510","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",105.400000,-116.900000,180.000000,top
"R45","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",143.760000,-113.370000,-90.000000,top
"R46","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.550000,-104.520000,-90.000000,top
"R47","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",142.690000,-114.570000,-90.000000,top
"R48","DNF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",140.470000,-103.270000,90.000000,top
"SW1","C2689642","SW_SPST_CK_PTS636_SP43_SMTR",105.800000,-91.440000,0.000000,top
"SW2","C2689642","SW_SPST_CK_PTS636_SP43_SMTR",122.430000,-91.470000,180.000000,top
"U4","FSUSB42MUX","MSOP-10_3x3mm_P0.5mm",141.200000,-110.100000,-90.000000,top
"U5","MIC2026-1BM","SOIC-8_3.9x4.9mm_P1.27mm",167.100000,-125.000000,90.000000,top
"U6","MIC2026-1BM","SOIC-8_3.9x4.9mm_P1.27mm",167.100000,-91.500000,-90.000000,top
"U7","USB2514B_Bi","QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm",153.700000,-107.800000,180.000000,top
"U9","NCP1117LPST33T3G","SOT-223-3_TabPin2",110.200000,-98.144000,90.000000,top
"Y2","24MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",156.450000,-118.600000,180.000000,top
